user_id,total_transactions,total_quantity,avg_rating_given,std_rating_given,unique_products_bought,avg_quantity_per_txn,first_purchase,last_purchase,days_since_last_purchase,purchase_frequency,total_events,total_sessions,avg_page_duration,unique_products_viewed,cart_adds,searches,engagement_score,age,gender_encoded,location_encoded,is_premium,age_normalized,days_since_signup,conversion_rate
U0001,10,27.0,3.4,1.07496769977314,10,2.7,2024-01-01 11:08:00,2024-12-15 01:53:00,582,0.8595988538681949,25,25,34.6,24,6,3,23.880000000000003,56,1,3,False,0.8260869565217391,1023,0.4166666666666667
U0002,10,19.0,4.2,0.9189365834726816,10,1.9,2024-01-26 08:07:00,2024-12-12 21:37:00,584,0.9316770186335404,33,33,29.03030303030303,30,9,1,26.40909090909091,46,1,9,False,0.6086956521739131,977,0.3333333333333333
U0003,13,35.0,3.4615384615384617,1.3301243435223524,13,2.6923076923076925,2024-01-16 14:53:00,2024-12-10 00:57:00,587,1.1854103343465046,23,23,31.08695652173913,20,1,0,20.426086956521736,32,2,8,False,0.3043478260869565,959,0.65
U0004,12,23.0,4.166666666666667,0.937436866561092,12,1.9166666666666667,2024-01-06 03:41:00,2024-11-12 22:43:00,614,1.1538461538461535,27,27,33.48148148148148,26,5,3,24.344444444444445,60,0,3,True,0.9130434782608696,931,0.4615384615384615
U0005,12,32.0,3.25,1.1381803659589922,12,2.6666666666666665,2024-01-06 02:12:00,2024-12-21 17:38:00,576,1.0256410256410258,31,31,32.29032258064516,28,6,3,25.787096774193547,25,2,9,False,0.1521739130434782,802,0.4285714285714285
U0006,5,12.0,4.0,0.7071067811865476,5,2.4,2024-01-09 16:27:00,2024-05-04 07:12:00,807,1.293103448275862,25,24,20.24,25,1,4,18.772,38,2,1,False,0.4347826086956521,690,0.2
U0007,13,37.0,3.923076923076923,0.9540735874430284,13,2.8461538461538463,2024-01-03 14:13:00,2024-10-17 05:59:00,641,1.3541666666666667,29,29,30.724137931034484,27,7,1,24.717241379310344,56,0,2,False,0.8260869565217391,1131,0.4814814814814814
U0008,8,18.0,4.125,0.9910312089651148,8,2.25,2024-01-04 05:44:00,2024-11-23 13:41:00,604,0.7384615384615384,21,21,21.428571428571427,19,1,6,16.728571428571428,36,0,8,True,0.391304347826087,753,0.4210526315789473
U0009,13,33.0,3.615384615384616,1.3252962900462133,12,2.5384615384615383,2024-01-05 22:08:00,2024-10-15 10:27:00,643,1.3732394366197185,42,42,28.19047619047619,36,7,2,29.65714285714285,40,0,0,False,0.4782608695652174,1286,0.3333333333333333
U0010,12,25.0,3.583333333333333,1.1645001528813153,12,2.083333333333333,2024-02-21 02:31:00,2024-12-10 23:30:00,586,1.2244897959183672,35,35,25.085714285714285,34,5,4,25.825714285714287,28,0,6,False,0.217391304347826,996,0.3529411764705882
