event_id,user_id,product_id,event_type,session_id,timestamp,device,page_duration_sec,date,hour
E0000001,U0460,P0109,add_to_cart,S000285,2024-10-04 23:24:13,desktop,0,2024-10-04,23
E0000002,U0415,P0133,search,S001151,2024-06-08 02:53:35,mobile,43,2024-06-08,2
E0000003,U0132,P0183,page_view,S002152,2024-12-15 00:19:47,desktop,9,2024-12-15,0
E0000004,U0381,P0119,page_view,S002951,2024-07-22 13:39:26,mobile,4,2024-07-22,13
E0000005,U0033,P0048,product_view,S000635,2024-01-27 05:47:07,desktop,42,2024-01-27,5
E0000006,U0096,P0035,add_to_cart,S002459,2024-05-13 15:03:29,mobile,8,2024-05-13,15
E0000007,U0446,P0002,product_view,S002450,2024-02-03 10:44:53,mobile,31,2024-02-03,10
E0000008,U0214,P0026,add_to_cart,S000856,2024-11-23 19:57:33,mobile,9,2024-11-23,19
E0000009,U0164,P0059,wishlist_add,S000889,2024-08-19 11:09:13,desktop,82,2024-08-19,11
E0000010,U0069,P0063,wishlist_add,S001296,2024-04-12 00:07:00,tablet,13,2024-04-12,0
E0000011,U0378,P0068,product_view,S002668,2024-11-12 10:52:29,desktop,0,2024-11-12,10
E0000012,U0121,P0186,page_view,S001047,2024-07-17 01:23:54,desktop,60,2024-07-17,1
E0000013,U0016,P0083,product_view,S002566,2024-08-14 16:52:17,mobile,70,2024-08-14,16
E0000014,U0066,P0051,search,S000986,2024-06-19 17:19:07,mobile,27,2024-06-19,17
E0000015,U0399,P0059,product_view,S000285,2024-04-30 20:24:52,mobile,8,2024-04-30,20
E0000016,U0310,P0081,wishlist_add,S002558,2024-05-15 11:32:24,mobile,22,2024-05-15,11
E0000017,U0058,P0071,wishlist_add,S001208,2024-08-28 14:47:44,desktop,16,2024-08-28,14
E0000018,U0375,P0077,page_view,S000944,2024-09-03 21:10:24,mobile,12,2024-09-03,21
E0000019,U0457,P0174,add_to_cart,S002155,2024-04-30 07:42:02,desktop,53,2024-04-30,7
E0000020,U0216,P0004,page_view,S001248,2024-03-04 22:46:51,mobile,2,2024-03-04,22
E0000021,U0303,P0069,remove_from_cart,S000415,2024-09-07 13:10:28,mobile,47,2024-09-07,13
E0000022,U0265,P0114,product_view,S000182,2024-09-16 01:12:20,mobile,67,2024-09-16,1
E0000023,U0182,P0090,add_to_cart,S001727,2024-07-17 19:55:32,mobile,40,2024-07-17,19
E0000024,U0397,P0150,add_to_cart,S001552,2024-08-22 13:33:30,desktop,15,2024-08-22,13
E0000025,U0419,P0093,page_view,S000805,2024-08-05 21:01:32,mobile,7,2024-08-05,21
E0000026,U0381,P0077,add_to_cart,S002574,2024-08-27 17:02:25,mobile,33,2024-08-27,17
