transaction_id,user_id,product_id,quantity,rating,timestamp,payment_method,date,hour,day_of_week,month
T000001,U0277,P0077,1.0,4.0,2024-10-31 15:31:00,UPI,2024-10-31,15,3,10
T000002,U0420,P0172,4.0,4.0,2024-12-09 09:33:00,Credit Card,2024-12-09,9,0,12
T000003,U0242,P0003,2.0,5.0,2024-10-30 07:14:00,Credit Card,2024-10-30,7,2,10
T000004,U0174,P0139,3.0,5.0,2024-03-16 08:55:00,COD,2024-03-16,8,5,3
T000005,U0060,P0136,1.0,3.0,2024-07-26 23:18:00,Credit Card,2024-07-26,23,4,7
T000006,U0388,P0137,2.0,3.0,2024-02-18 09:35:00,Debit Card,2024-02-18,9,6,2
T000007,U0097,P0165,3.0,2.0,2024-04-04 08:40:00,Credit Card,2024-04-04,8,3,4
T000008,U0085,P0130,4.0,5.0,2024-11-24 16:13:00,UPI,2024-11-24,16,6,11
T000009,U0388,P0070,3.0,4.0,2024-08-19 03:46:00,UPI,2024-08-19,3,0,8
T000010,U0240,P0019,4.0,5.0,2024-02-19 17:27:00,Credit Card,2024-02-19,17,0,2
T000011,U0491,P0120,1.0,5.0,2024-11-28 18:55:00,Debit Card,2024-11-28,18,3,11
T000012,U0121,P0026,2.0,1.0,2024-02-21 08:02:00,Debit Card,2024-02-21,8,2,2
T000013,U0152,P0083,1.0,5.0,2024-09-20 01:10:00,COD,2024-09-20,1,4,9
T000014,U0312,P0095,2.0,3.0,2024-06-10 09:21:00,Credit Card,2024-06-10,9,0,6
T000015,U0407,P0077,4.0,4.0,2024-02-06 05:57:00,Debit Card,2024-02-06,5,1,2
T000016,U0474,P0186,2.0,4.0,2024-08-30 22:32:00,UPI,2024-08-30,22,4,8
T000017,U0196,P0074,3.0,3.0,2024-11-13 20:00:00,UPI,2024-11-13,20,2,11
T000018,U0200,P0044,4.0,1.0,2024-09-11 09:21:00,UPI,2024-09-11,9,2,9
T000019,U0068,P0037,3.0,3.0,2024-01-24 11:05:00,COD,2024-01-24,11,2,1
T000020,U0228,P0148,1.0,5.0,2024-02-14 17:36:00,Credit Card,2024-02-14,17,2,2
T000021,U0487,P0042,4.0,4.0,2024-01-17 10:24:00,Net Banking,2024-01-17,10,2,1
T000022,U0110,P0162,4.0,3.0,2024-05-05 07:25:00,UPI,2024-05-05,7,6,5
T000023,U0246,P0139,4.0,5.0,2024-02-23 03:23:00,Net Banking,2024-02-23,3,4,2
T000024,U0101,P0094,4.0,4.0,2024-07-08 12:14:00,Net Banking,2024-07-08,12,0,7
T000025,U0058,P0007,4.0,3.0,2024-01-04 17:19:00,COD,2024-01-04,17,3,1
T000026,U0258,P0065,3.0,5.0,2024-10-01 18:46:00,Debit Card,2024-10-01,18,1,10
T000027,U0015,P0094,4.0,3.0,2024-03-21 18:46:00,Debit Card,2024-03-21,18,3,3
T000028,U0121,P0187,4.0,5.0,2024-09-03 05:18:00,Credit Card,2024-09-03,5,1,9
T000029,U0360,P0149,1.0,2.0,2024-04-01 07:36:00,Debit Card,2024-04-01,7,0,4
T000030,U0421,P0199,2.0,4.0,2024-10-31 14:41:00,Net Banking,2024-10-31,14,3,10
T000031,U0350,P0139,2.0,5.0,2024-04-21 16:18:00,Credit Card,2024-04-21,16,6,4
T000032,U0214,P0083,3.0,3.0,2024-03-28 15:59:00,UPI,2024-03-28,15,3,3
T000033,U0340,P0161,1.0,2.0,2024-11-17 11:27:00,Credit Card,2024-11-17,11,6,11
T000034,U0097,P0042,2.0,2.0,2024-05-29 22:26:00,Net Banking,2024-05-29,22,2,5
T000035,U0331,P0137,1.0,4.0,2024-04-02 12:13:00,Credit Card,2024-04-02,12,1,4
T000036,U0421,P0152,2.0,5.0,2024-06-08 16:32:00,Credit Card,2024-06-08,16,5,6
T000037,U0490,P0185,2.0,3.0,2024-11-03 19:56:00,Credit Card,2024-11-03,19,6,11
T000038,U0288,P0029,1.0,4.0,2024-02-29 03:44:00,Credit Card,2024-02-29,3,3,2
T000039,U0403,P0159,2.0,5.0,2024-06-07 11:56:00,Debit Card,2024-06-07,11,4,6
T000040,U0073,P0088,4.0,3.0,2024-07-30 07:49:00,COD,2024-07-30,7,1,7
T000041,U0478,P0069,1.0,1.0,2024-09-04 04:27:00,Debit Card,2024-09-04,4,2,9
T000042,U0190,P0140,1.0,2.0,2024-10-02 05:17:00,Debit Card,2024-10-02,5,2,10
T000043,U0073,P0119,1.0,4.0,2024-06-25 19:49:00,Debit Card,2024-06-25,19,1,6
T000044,U0331,P0163,1.0,4.0,2024-08-13 19:31:00,Credit Card,2024-08-13,19,1,8
T000045,U0087,P0030,4.0,3.0,2024-02-20 14:31:00,UPI,2024-02-20,14,1,2
T000046,U0379,P0035,3.0,5.0,2024-07-28 09:21:00,Credit Card,2024-07-28,9,6,7
T000047,U0243,P0019,4.0,4.0,2024-07-23 03:35:00,Net Banking,2024-07-23,3,1,7
T000048,U0145,P0024,1.0,2.0,2024-07-21 02:40:00,Credit Card,2024-07-21,2,6,7
T000049,U0500,P0058,3.0,4.0,2024-07-27 15:22:00,Net Banking,2024-07-27,15,5,7
T000050,U0117,P0075,3.0,4.0,2024-08-19 23:32:00,UPI,2024-08-19,23,0,8
T000051,U0329,P0161,1.0,4.0,2024-10-06 17:28:00,Debit Card,2024-10-06,17,6,10
T000052,U0436,P0074,2.0,3.0,2024-02-07 15:08:00,UPI,2024-02-07,15,2,2
T000053,U0051,P0168,4.0,2.0,2024-07-22 23:39:00,UPI,2024-07-22,23,0,7
T000054,U0019,P0039,4.0,5.0,2024-05-18 08:53:00,Debit Card,2024-05-18,8,5,5
T000055,U0093,P0196,4.0,4.0,2024-05-20 16:01:00,UPI,2024-05-20,16,0,5
T000056,U0286,P0044,4.0,4.0,2024-09-19 13:09:00,UPI,2024-09-19,13,3,9
T000057,U0002,P0158,1.0,4.0,2024-02-13 07:30:00,UPI,2024-02-13,7,1,2
T000058,U0064,P0053,2.0,4.0,2024-10-31 07:55:00,Debit Card,2024-10-31,7,3,10
