transaction_id,user_id,product_id,quantity,rating,timestamp,payment_method
T000001,U0277,P0077,1.0,4,2024-10-31 15:31:00,UPI
T000002,U0420,P0172,4.0,4,2024-12-09 09:33:00,Credit Card
T000003,U0242,P0003,2.0,5,2024-10-30 07:14:00,Credit Card
T000004,U0174,P0139,3.0,5,2024-03-16 08:55:00,COD
T000005,U0060,P0136,1.0,3,2024-07-26 23:18:00,Credit Card
T000006,U0388,P0137,2.0,3,2024-02-18 09:35:00,Debit Card
T000007,U0097,P0165,3.0,2,2024-04-04 08:40:00,Credit Card
T000008,U0085,P0130,4.0,5,2024-11-24 16:13:00,UPI
T000009,U0388,P0070,3.0,4,2024-08-19 03:46:00,UPI
T000010,U0240,P0019,4.0,5,2024-02-19 17:27:00,Credit Card
T000011,U0491,P0120,1.0,5,2024-11-28 18:55:00,Debit Card
T000012,U0121,P0026,2.0,1,2024-02-21 08:02:00,Debit Card
T000013,U0152,P0083,1.0,5,2024-09-20 01:10:00,COD
T000014,U0312,P0095,2.0,3,2024-06-10 09:21:00,Credit Card
T000015,U0407,P0077,4.0,4,2024-02-06 05:57:00,Debit Card
T000016,U0474,P0186,2.0,4,2024-08-30 22:32:00,UPI
T000017,U0196,P0074,3.0,3,2024-11-13 20:00:00,UPI
T000018,U0200,P0044,4.0,1,2024-09-11 09:21:00,UPI
T000019,U0068,P0037,3.0,3,2024-01-24 11:05:00,COD
T000020,U0228,P0148,1.0,5,2024-02-14 17:36:00,Credit Card
T000021,U0487,P0042,4.0,,2024-01-17 10:24:00,Net Banking
T000022,U0110,P0162,4.0,3,2024-05-05 07:25:00,UPI
T000023,U0246,P0139,4.0,5,2024-02-23 03:23:00,Net Banking
T000024,U0101,P0094,4.0,4,2024-07-08 12:14:00,Net Banking
T000025,U0058,P0007,4.0,3,2024-01-04 17:19:00,COD
T000026,U0258,P0065,3.0,5,2024-10-01 18:46:00,Debit Card
T000027,U0015,P0094,4.0,3,2024-03-21 18:46:00,Debit Card
T000028,U0121,P0187,4.0,5,2024-09-03 05:18:00,Credit Card
T000029,U0360,P0149,1.0,2,2024-04-01 07:36:00,Debit Card
T000030,U0421,P0199,2.0,4,2024-10-31 14:41:00,Net Banking
T000031,U0350,P0139,2.0,5,2024-04-21 16:18:00,Credit Card
T000032,U0214,P0083,3.0,3,2024-03-28 15:59:00,UPI
T000033,U0340,P0161,1.0,2,2024-11-17 11:27:00,Credit Card
T000034,U0097,P0042,2.0,2,2024-05-29 22:26:00,Net Banking
T000035,U0331,P0137,1.0,4,2024-04-02 12:13:00,Credit Card
T000036,U0421,P0152,2.0,5,2024-06-08 16:32:00,Credit Card
T000037,U0490,P0185,2.0,3,2024-11-03 19:56:00,Credit Card
T000038,U0288,P0029,1.0,,2024-02-29 03:44:00,Credit Card
T000039,U0403,P0159,2.0,5,2024-06-07 11:56:00,Debit Card
T000040,U0073,P0088,4.0,3,2024-07-30 07:49:00,COD
T000041,U0478,P0069,1.0,1,2024-09-04 04:27:00,Debit Card
T000042,U0190,P0140,1.0,2,2024-10-02 05:17:00,Debit Card
T000043,U0073,P0119,1.0,4,2024-06-25 19:49:00,Debit Card
T000044,U0331,P0163,1.0,4,2024-08-13 19:31:00,Credit Card
T000045,U0087,P0030,4.0,3,2024-02-20 14:31:00,UPI
T000046,U0379,P0035,3.0,5,2024-07-28 09:21:00,Credit Card
